CustomerID,Age,Annual Income (k$),Spending Score (1-100),Purchase Frequency,Avg Purchase Value,Cluster
60,61,87,96.84049062502916,3.8,21.39757880751038,0
61,25,73,81.97575984782235,7.2,35.567764934101504,0
62,64,84,57.03114639657219,5.1,27.470236103781584,0
63,52,94,54.82043312302223,4.1,75.22484305251767,0
64,31,107,64.36285196697074,7.2,50.076836493031,0
65,34,17,18.84598958781689,2.9,69.55009701992422,1
66,53,34,25.040957668865325,3.6,48.81447314813678,1
67,67,73,58.006931203709165,4.6,75.71141608171794,0
68,57,50,29.284500084725416,2.9,35.376982038943574,1
69,21,33,50.62445537244994,4.3,22.120845038708897,1
70,19,104,71.57569046749671,5.9,97.3396173972753,0
71,23,81,59.14774458111402,7.5,25.65121349388912,0
72,59,33,55.26429872669085,7.8,41.40338062495719,1
73,21,34,17.562145547033722,8.3,10.0,1
74,46,110,82.914825284157,7.6,45.14091824838091,0
75,35,85,63.8835700461415,7.0,10.0,0
76,43,66,20.237242043913252,2.8,12.724569474291776,1
77,61,119,46.77245080647239,4.3,31.95191645750649,0
78,51,47,53.65517504412367,5.0,46.83106426769508,1
79,27,54,45.3418603552604,1.3,58.20617784670988,1
80,53,53,45.58837644451539,5.5,28.95739879264793,1
81,31,96,87.54986664682086,4.6,51.4888379049096,0
82,48,118,89.91452272791904,8.1,52.22585934684712,0
83,65,15,55.647079791168224,9.8,10.0,1
84,32,25,36.20486880776781,5.8,42.26789074390637,1
85,25,106,59.66285651597012,3.6,66.97604081278438,0
86,31,71,22.337031228499868,0.9,10.0,1
87,40,103,70.34845617645857,9.3,40.7067299629424,0
88,57,64,55.74316593129172,9.2,10.539179763777147,1
89,38,37,47.647296531600574,2.9,10.671842910043248,1
90,33,45,55.34879337794495,7.1,10.0,1
91,62,108,62.554786023639245,1.2,54.20738887775801,0
92,35,56,47.35014861346112,2.1,19.502557945995783,1
93,64,113,72.21075573538724,2.6,47.46577918537483,0
94,41,21,24.3290641666024,3.3,49.821652850161406,1
95,43,30,22.52010897739568,10.0,37.31535982007746,1
96,42,104,90.38736359292514,7.1,28.88316049098699,0
97,62,74,42.42232228710286,4.1,25.333598015597367,1
98,58,16,46.82810416433816,7.5,32.75379166198838,1
99,46,15,52.87815437266334,9.2,29.912587151082995,1
100,32,62,49.7494120966698,9.6,13.086592828137931,1
101,62,26,30.245741208939062,1.0,15.78027999293506,1
102,18,83,48.685187811161526,4.2,92.20418120260904,0
103,42,51,24.674515085299134,1.5,11.203557344359712,1
104,24,46,37.96209851873987,3.7,80.52413765376356,1
105,26,23,22.067088837543107,2.1,47.51000827577416,1
106,41,119,79.87827273026338,6.6,107.56248825166398,0
107,18,113,49.08567976666065,4.2,29.927840837917135,0
108,61,33,22.77830040773491,2.7,20.34332377811717,1
109,25,62,74.1771809228261,3.0,16.325085736733115,1
110,41,94,16.939936567969667,3.9,79.60259575778609,0
111,28,17,30.546106603426196,3.0,10.0,1
112,68,34,47.256874000344624,4.8,49.13646480028621,1
113,34,38,1.0247842107077183,0.8,42.34898233576123,1
114,25,68,36.55841629885681,3.2,30.7591140785747,1
115,52,47,21.689242630849837,4.4,68.15979202493007,1
116,52,38,65.40948065967818,6.2,28.830396091798157,1
117,50,89,70.34537900166674,3.1,70.62257155824909,0
118,22,86,65.67138061697098,1.8,23.958898932466525,0
119,59,50,30.409708389921928,1.2,10.096895576795248,1
120,56,52,73.88137924624465,9.4,53.93436587772824,0
121,58,118,72.37645149406883,4.5,71.72520733001245,0
122,45,98,87.38736440815836,6.0,55.499229923850976,0
123,24,113,81.86955363831669,9.2,39.68934956186649,0
124,26,103,45.21137124929841,1.3,92.87628429578912,0
125,25,113,100.0,8.8,16.702425872384595,0
126,29,39,36.28726859002296,5.7,10.0,1
127,51,107,46.31800137636304,2.1,81.26499515491487,0
128,50,32,15.555491537650417,4.4,48.60289152429209,1
129,65,96,58.1013199047144,7.9,62.01288336975604,0
130,40,80,67.96663526544053,5.1,31.36143334291581,0
131,41,68,62.21705684432177,9.9,50.47266387571237,0
132,54,49,71.26938463995623,4.1,82.02490891358602,0
133,52,94,87.59267273486181,7.6,123.46638623622675,0
134,61,75,53.95707195140957,4.2,10.0,1
135,57,55,73.75846311797424,8.4,20.832396422543603,0
136,39,114,67.26738995295774,5.9,38.94680211045482,0
137,44,47,1.0,1.1,76.39558415099046,1
138,52,82,28.556254136378897,0.8,10.0,1
139,18,47,31.10811744054404,1.8,37.81505579196639,1
140,52,28,12.4618779174329,0.6,13.895690747428992,1
141,54,35,33.466230823861906,1.2,73.94338248642921,1
142,64,62,50.430793279847954,7.1,82.63116520013381,0
143,31,34,45.02052088942588,5.6,30.76520204480078,1
144,20,22,56.31457445846434,7.6,10.0,1
145,18,21,36.18456224083842,9.2,10.0,1
146,22,81,67.12717933066682,6.1,22.868267701587843,0
147,43,31,11.378197391371494,7.4,10.0,1
148,31,47,44.74159031889162,7.7,59.63752845578109,1
149,56,62,24.82062811380968,4.1,10.0,1
150,44,90,55.5784016569402,2.8,103.75982525361135,0
151,26,73,47.23999635015996,2.4,93.28467902136376,0
152,32,100,62.19014536870692,2.9,34.848192144214806,0
153,32,36,20.0981611530556,3.1,30.654861103894483,1
154,43,44,63.9770329260225,2.5,24.03149565788728,1
155,59,52,33.37967732535398,8.8,59.65474401085071,1
156,30,116,61.16281259257725,7.7,90.64032015694278,0
157,68,65,60.02467563604878,0.9,47.33990976360199,1
158,49,68,32.7358130411516,3.1,51.07350129343188,1
159,56,22,1.0,0.7,10.0,1
160,66,41,70.64367846584669,5.2,42.70141900671016,1
161,69,41,50.28584075235346,5.0,35.08286236771943,1
162,49,112,72.28303177792668,8.4,27.246165337459303,0
163,21,35,30.962618585403412,3.4,17.778886719706662,1
164,47,44,76.08806927241527,8.3,15.504524460417809,1
165,54,111,94.974310214263,9.7,36.91513254545825,0
166,40,42,44.19222682659664,1.3,10.0,1
167,56,78,75.07204768100708,8.0,44.275081997484286,0
168,62,111,87.75380018930312,6.1,33.3857798102397,0
169,32,83,57.396125438656405,5.1,25.466754830919022,0
170,60,75,51.17022718464329,4.5,74.25372825651867,0
171,46,62,59.00575578022681,8.0,52.963483038051336,0
172,53,33,47.31679211175451,6.6,10.0,1
173,30,18,29.0502702625108,8.1,23.75673203719308,1
174,49,49,53.63080901754507,9.1,33.38342094792466,1
175,24,78,53.54481576066022,6.4,87.05088625600382,0
176,68,63,62.63527232991794,9.8,80.29435002616825,0
177,39,31,15.635055035272297,6.3,10.0,1
178,45,58,87.58966200439278,6.5,58.03383006875804,0
179,19,106,59.405898218316864,5.8,84.15591754871096,0
180,59,44,20.77808912860853,1.4,46.180776261849935,1
181,62,107,63.411034096677966,7.4,45.137635689174274,0
182,23,60,56.33563123746811,5.7,101.0018174535141,0
183,45,20,21.45996053136503,4.8,36.54227842781067,1
184,45,113,69.34288734854172,9.1,113.49632821184684,0
185,61,119,79.25325049336514,3.3,100.34435288420522,0
186,61,51,53.874737218841865,5.5,46.52403980669912,1
187,37,38,39.296855132841,7.1,10.0,1
188,47,107,67.84561072926884,8.1,51.47685365542496,0
189,28,60,77.56599008339576,4.9,22.94262641619341,0
190,45,67,64.10101445787846,8.5,10.0,0
191,42,109,58.78896522570015,7.8,71.50844724879109,0
192,56,113,81.01060691504152,1.1,103.42059005878228,0
193,50,74,26.86337875881144,0.9,30.6508951634566,1
194,18,111,100.0,6.4,112.90969497674212,0
195,44,77,51.0948678629138,3.8,10.0,1
196,69,99,72.1997405408303,2.5,85.03090645161612,0
197,30,46,9.799736587296485,6.0,74.5456070621623,1
198,58,101,42.33788673865055,3.7,45.87908257056819,0
199,20,47,60.30789429641072,5.6,17.218304845713575,1
200,56,81,59.96722598443706,4.9,74.88295527533204,0
